CID,BDATE,GEN
16092,1971-07-02,Female
16093,1971-08-30,Female
16094,1977-11-08,Female
16095,1971-08-11,Male
16096,1974-07-25,Male
16097,1975-05-05,Female
16098,1975-03-06,Female
16099,1980-08-05,Male
16100,1980-03-30,Male
16101,1975-03-19,Female
16102,1971-02-11,Male
16103,1982-04-06,Female
16104,1971-05-04,Female
16105,1970-08-04,Female
16106,1970-09-18,Male
16107,1980-10-14,Female
16108,1975-06-21,Male
16109,1970-01-02,Male
16110,1969-12-29,Male
16111,1980-02-02,Female
16112,1968-09-01,Male
16113,1979-08-09,Male
16114,1968-09-10,Male
16115,1973-12-11,Female
16116,1973-12-04,Male
16117,1968-05-01,Male
16118,1968-03-02,Male
16119,1967-03-12,Female
16120,1977-10-08,Male
16121,1966-11-01,Female
16122,1967-06-15,Male
16123,1967-01-05,Female
16124,1967-05-03,Male
16125,1966-09-03,Female
16126,1967-01-14,Female
16127,1983-03-10,Female
16128,1977-12-18,Female
16129,1966-04-10,Female
16130,1971-12-21,Female
16131,1965-11-11,Male
16132,1971-11-30,Female
16133,1978-08-09,Male
16134,1972-12-03,Male
16135,1972-12-28,Female
16136,1972-12-01,Male
16137,1972-09-11,Male
16138,1972-08-08,Male
16139,1971-08-22,Female
16140,1971-04-01,Male
16141,1966-05-01,Female
16142,1964-07-10,Female
16143,1964-09-15,Female
16144,1970-11-30,Male
16145,1965-04-23,Female
16146,1964-08-20,Female
16147,1964-05-23,Male
16148,1963-09-23,Female
16149,1963-08-29,Male
16150,1974-08-09,Female
16151,1968-12-30,Female
16152,1969-11-12,Female
16153,1963-10-09,Male
16154,1964-06-04,Female
16155,1974-10-08,Female
16156,1975-03-11,Male
16157,1985-10-21,Female
16158,1975-01-18,Female
16159,1980-06-17,Female
16160,1973-12-18,Female
16161,1974-02-21,Female
16162,1974-03-26,Female
16163,1973-06-13,Male
16164,1978-01-29,Female
16165,1978-01-30,Female
16166,1984-02-03,Female
16167,1978-01-02,Male
16168,1973-03-07,Female
16169,1978-03-13,Male
16170,1972-03-07,Male
16171,1971-10-04,Male
16172,1983-04-06,Female
16173,1981-07-02,Male
16174,1970-09-21,Female
16175,1976-09-01,Male
16176,1974-02-16,Female
16177,1979-09-07,Female
16178,1974-05-16,Male
16179,1974-02-19,Female
16180,1976-08-18,Male
16181,1970-12-21,Female
16182,1969-10-19,Male
16183,1975-11-01,Female
16184,1969-12-04,Female
16185,1975-12-10,Male
16186,1980-01-22,Female
16187,1986-02-14,Male
16188,1985-10-03,Female
16189,1984-09-29,Female
16190,1984-07-07,Male
16191,1983-09-15,Female
16192,1983-12-02,Female
16193,1983-12-18,Male
16194,1979-03-16,Female
16195,1978-10-10,Female
16196,1979-04-20,Male
16197,1983-08-16,Female
16198,1978-04-12,Male
16199,1978-02-15,Male
16200,1976-10-15,Female
16201,1977-03-05,Male
16202,1976-10-18,Male
16203,1975-11-01,Male
16204,1982-04-09,Male
16205,1982-03-28,Female
16206,1976-11-15,Female
16207,1982-03-09,Male
16208,1977-01-17,Female
16209,1975-09-15,Female
16210,1979-09-09,Female
16211,1980-05-22,Male
16212,1935-07-03,Female
16213,1971-11-13,Female
16214,1977-01-30,Male
16215,1971-11-09,Male
16216,1983-03-23,Male
16217,1972-03-24,Female
16218,1964-09-30,Female
16219,1964-11-18,Male
16220,1959-01-03,Female
16221,1964-05-10,Male
16222,1959-06-17,Male
16223,1958-11-15,Male
16224,1959-01-17,Male
16225,1970-04-07,Male
16226,1958-11-20,Female
16227,1959-12-16,Male
16228,1966-12-23,Male
16229,1971-11-13,Male
16230,1960-10-31,Male
16231,1961-05-08,Female
16232,1961-04-04,Male
16233,1971-09-18,Female
16234,1961-11-04,Male
16235,1967-02-13,Male
16236,1967-12-13,Male
16237,1962-07-12,Female
16238,1963-06-01,Female
16239,1963-05-31,Male
16240,1974-08-11,Female
16241,1975-04-03,Female
16242,1963-08-24,Female
16243,1963-12-23,Female
16244,1969-12-15,Male
16245,1969-09-21,Female
16246,1964-05-25,Male
16247,1964-10-30,Female
16248,1964-08-27,Female
16249,1970-12-01,Male
16250,1979-05-18,Male
16251,1978-03-08,Female
16252,1973-03-21,Male
16253,1973-03-02,Female
16254,1973-02-17,Female
16255,1973-02-18,Female
16256,1973-01-13,Male
16257,1978-10-14,Female
16258,1973-05-02,Female
16259,1971-10-19,Female
16260,1977-02-16,Female
16261,1984-02-03,Female
16262,1984-05-14,Female
16263,1972-12-08,Male
16264,1933-10-20,Female
16265,1982-12-13,Female
16266,1971-10-16,Female
16267,1972-04-21,Male
16268,1972-05-19,Female
16269,1971-08-25,Female
16270,1971-12-08,Male
16271,1970-12-11,Female
16272,1971-02-04,Male
16273,1976-05-10,Female
16274,1969-09-13,Male
16275,1969-06-30,Female
16276,1980-08-29,Female
16277,1970-03-28,Female
16278,1969-12-21,Male
16279,1968-12-22,Female
16280,1969-02-15,Male
16281,1968-07-05,Male
16282,1969-02-28,Female
16283,1974-09-09,Male
16284,1968-12-08,Male
16285,1972-05-01,Female
16286,1977-11-20,Male
16287,1972-05-02,Female
16288,1985-08-16,Male
16289,1971-03-24,Female
16290,1971-04-22,Male
16291,1969-07-05,Female
16292,1975-05-01,Female
16293,1970-05-12,Male
16294,1975-06-21,Male
16295,1974-11-10,Male
16296,1969-06-19,Female
16297,1974-09-08,Female
16298,1968-11-12,Female
16299,1983-05-24,Female
16300,1983-05-10,Male
16301,1982-08-06,Male
16302,1985-05-11,Female
16303,1985-03-06,Female
16304,1985-04-14,Male
16305,1985-03-22,Male
16306,1984-08-17,Female
16307,1974-06-03,Female
16308,1974-04-23,Female
16309,1968-03-20,Female
16310,1973-02-28,Female
16311,1973-10-06,Male
16312,1983-07-20,Female
16313,1983-09-23,Female
16314,1983-10-22,Male
16315,1983-01-19,Male
16316,1983-04-23,Female
16317,1983-03-23,Male
16318,1982-12-06,Female
16319,1982-05-21,Female
16320,1981-09-01,Female
16321,1985-10-21,Female
16322,1980-03-16,Female
16323,1980-10-02,Male
16324,1986-03-15,Male
16325,1919-03-10,Female
16326,1978-07-17,Male
16327,1984-03-02,Male
16328,1978-08-15,Male
16329,1984-12-09,Female
16330,1979-01-03,Male
16331,1982-09-09,Female
16332,1954-04-03,Female
16333,1982-08-21,Male
16334,1983-06-11,Female
16335,1983-02-22,Female
16336,1982-12-06,Male
16337,1983-01-03,Male
16338,1954-09-15,Female
16339,1955-10-30,Male
16340,1986-06-23,Male
16341,1957-05-25,Female
16342,1962-04-05,Male
16343,1968-02-17,Male
16344,1985-11-15,Male
16345,1959-04-23,Male
16346,1964-06-10,Male
16347,1958-12-01,Male
16348,1960-01-01,Male
16349,1959-10-13,Male
16350,1965-02-10,Male
16351,1960-01-04,Female
16352,1965-08-02,Female
16353,1981-05-06,Male
16354,1980-08-06,Female
16355,1980-12-24,Female
16356,1981-06-16,Female
16357,1980-03-15,Female
16358,1979-07-08,Male
16359,1959-09-08,Female
16360,1960-01-30,Male
16361,1960-11-06,Male
16362,1960-10-29,Male
16363,1960-08-30,Female
16364,1960-11-07,Female
16365,1961-01-15,Female
16366,1972-01-02,Female
16367,1977-05-24,Female
16368,1966-11-04,Female
16369,1967-08-23,Female
16370,1967-01-22,Female
16371,1961-09-11,Male
16372,1974-01-29,Female
16373,1962-10-20,Female
16374,1963-06-14,Male
16375,1968-08-19,Female
16376,1963-06-06,Female
16377,1969-09-21,Female
16378,1963-09-15,Female
16379,1969-09-21,Male
16380,1975-04-19,Female
16381,1963-12-01,Female
16382,1963-12-01,Female
16383,1963-10-25,Male
16384,1964-11-19,Female
16385,1965-06-15,Male
16386,1974-03-15,Male
16387,1974-04-24,Male
16388,1979-11-23,Male
16389,1979-10-01,Male
16390,1973-08-25,Male
16391,1979-11-01,Male
16392,1974-04-08,Female
16393,1985-01-06,Male
16394,1978-06-03,Male
16395,1973-06-06,Female
16396,1972-10-14,Male
16397,1978-04-10,Male
16398,1973-06-12,Male
16399,1973-04-15,Male
16400,1978-03-06,Male
16401,1973-03-08,Female
16402,1973-04-01,Male
16403,1972-04-17,Male
16404,1973-01-02,Male
16405,1972-10-05,Female
16406,1978-11-10,Male
16407,1971-09-01,Female
16408,1970-08-08,Male
16409,1976-10-13,Female
16410,1970-04-18,Female
16411,1970-02-18,Male
16412,1980-12-05,Female
16413,1936-11-03,Female
16414,1969-12-15,Female
16415,1969-12-15,Male
16416,1975-05-14,Male
16417,1975-08-29,Male
16418,1974-08-22,Female
16419,1968-12-20,Female
16420,1974-11-15,Male
16421,1974-10-06,Female
16422,1979-09-20,Male
16423,1938-11-20,Male
16424,1972-01-15,Female
16425,1971-08-15,Female
16426,1972-01-08,Male
16427,1977-03-11,Female
16428,1968-09-24,Male
16429,1973-10-12,Female
16430,1971-02-04,Male
16431,1976-08-30,Male
16432,1975-08-05,Male
16433,1975-05-24,Male
16434,1970-04-03,Female
16435,1975-07-06,Male
16436,1974-08-11,Male
16437,1983-04-23,Male
16438,1982-01-14,Female
16439,1985-04-24,Female
16440,1985-06-02,Male
16441,1984-09-08,Male
16442,1985-02-23,Male
16443,1984-09-04,Female
16444,1969-04-21,Female
16445,1967-12-11,Female
16446,1967-11-09,Female
16447,1973-12-05,Female
16448,1967-08-02,Female
16449,1983-08-14,Male
16450,1983-02-12,Female
16451,1983-03-05,Male
16452,1983-05-21,Female
16453,1982-10-07,Female
16454,1982-12-03,Male
16455,1917-02-09,Female
16456,1981-01-09,Male
16457,1981-08-18,Female
16458,1982-06-18,Female
16459,1981-10-15,Female
16460,1982-05-17,Female
16461,1981-08-05,Female
16462,1980-10-14,Female
16463,1981-04-20,Female
16464,1979-11-15,Male
16465,1980-04-30,Female
16466,1979-12-13,Female
16467,1980-03-07,Male
16468,1981-05-17,Male
16469,1981-05-18,Female
16470,1981-05-08,Male
16471,1919-02-14,Female
16472,1985-03-10,Female
16473,1978-08-31,Female
16474,1978-10-19,Male
16475,1984-12-09,Male
16476,1979-06-10,Male
16477,1982-11-01,Female
16478,1982-07-21,Male
16479,1981-11-06,Female
16480,1960-02-05,Male
16481,1954-12-15,Female
16482,1955-11-12,Female
16483,1961-10-13,Male
16484,1955-08-07,Male
16485,1985-10-21,Male
16486,1956-11-12,Female
16487,1956-11-13,Female
16488,1956-10-25,Male
16489,1957-01-02,Male
16490,1985-11-14,Female
16491,1984-10-16,Male
16492,1957-09-21,Male
16493,1959-05-05,Female
16494,1965-11-21,Female
16495,1960-02-05,Female
16496,1965-05-14,Female
16497,1981-01-03,Female
16498,1981-05-08,Male
16499,1981-04-15,Female
16500,1980-08-19,Female
16501,1981-01-23,Female
16502,1980-08-12,Male
16503,1980-08-29,Male
16504,1980-02-02,Male
16505,1985-08-03,Female
16506,1984-12-09,Female
16507,1945-05-18,Female
16508,1945-02-10,Male
16509,1946-10-30,Female
16510,1948-06-03,Male
16511,1947-12-18,Male
16512,1947-10-05,Male
16513,1948-11-10,Male
16514,1985-07-10,Male
16515,1985-08-03,Male
16516,1986-01-24,Male
16517,1981-09-16,Female
16518,1981-12-17,Female
16519,1982-02-11,Female
16520,1982-04-22,Female
16521,1985-02-07,Female
16522,1985-01-01,Female
16523,1984-07-10,Female
16524,1985-01-20,Male
16525,1983-11-22,Female
16526,1984-04-23,Male
16527,1983-12-18,Male
16528,1984-02-22,Female
16529,1983-01-25,Male
16530,1949-04-16,Female
16531,1948-12-22,Female
16532,1977-12-18,Male
16533,1966-11-21,Female
16534,1966-08-05,Female
16535,1971-05-09,Male
16536,1966-01-19,Female
16537,1966-04-12,Male
16538,1965-07-12,Female
16539,1971-01-07,Female
16540,1966-03-15,Male
16541,1966-06-27,Male
16542,1965-12-07,Male
16543,1976-12-04,Female
16544,1970-04-04,Male
16545,1964-07-11,Female
16546,1965-02-24,Male
16547,1974-08-11,Male
16548,1971-07-11,Male
16549,1965-02-02,Female
16550,1970-02-18,Male
16551,1976-05-09,Female
16552,1965-01-06,Male
16553,1964-09-01,Female
16554,1964-02-14,Female
16555,1975-12-19,Male
16556,1975-07-06,Female
16557,1981-04-13,Male
16558,1981-04-13,Male
16559,1975-04-22,Female
16560,1976-04-12,Male
16561,1981-12-02,Male
16562,1981-09-06,Female
16563,1925-02-23,Female
16564,1975-02-04,Female
16565,1974-10-06,Male
16566,1980-01-19,Female
16567,1975-03-10,Male
16568,1927-08-13,Female
16569,1963-09-09,Female
16570,1968-09-13,Female
16571,1962-09-05,Female
16572,1979-05-14,Male
16573,1973-08-09,Male
16574,1979-03-09,Male
16575,1950-03-03,Female
16576,1952-04-10,Male
16577,1951-10-01,Female
16578,1952-06-03,Female
16579,1958-12-18,Male
16580,1960-01-01,Female
16581,1965-07-19,Male
16582,1965-09-30,Male
16583,1959-11-02,Male
16584,1959-10-31,Male
16585,1959-11-03,Male
16586,1969-12-17,Male
16587,1959-03-11,Male
16588,1958-10-01,Male
16589,1958-10-08,Male
16590,1964-08-29,Male
16591,1970-04-22,Male
16592,1958-05-15,Female
16593,1957-07-04,Female
16594,1957-09-01,Male
16595,1958-01-16,Male
16596,1956-09-24,Female
16597,1956-09-11,Female
16598,1957-05-02,Female
16599,1955-11-14,Male
16600,1953-11-13,Female
16601,1953-08-08,Female
16602,1954-03-19,Female
16603,1953-05-18,Female
16604,1952-07-03,Male
16605,1981-05-09,Female
16606,1982-05-09,Male
16607,1981-02-23,Male
16608,1981-06-11,Male
16609,1985-08-09,Male
16610,1979-12-21,Female
16611,1980-07-15,Male
16612,1981-02-18,Female
16613,1979-10-06,Female
16614,1979-03-22,Female
16615,1978-08-08,Female
16616,1985-06-02,Male
16617,1979-08-06,Male
16618,1979-12-15,Female
16619,1979-11-02,Female
16620,1984-05-12,Male
16621,1984-03-12,Female
16622,1978-11-12,Male
16623,1979-03-04,Male
16624,1983-07-24,Male
16625,1983-05-19,Male
16626,1978-01-15,Male
16627,1982-05-23,Female
16628,1976-10-16,Male
16629,1978-03-13,Female
16630,1978-01-08,Male
16631,1976-09-16,Female
16632,1976-11-13,Male
16633,1977-06-24,Female
16634,1981-02-12,Female
16635,1975-08-14,Male
16636,1976-02-23,Male
16637,1977-02-15,Male
16638,1977-02-07,Male
16639,1977-01-07,Female
16640,1976-11-30,Male
16641,1946-11-14,Female
16642,1952-11-03,Male
16643,1947-01-16,Male
16644,1947-06-22,Male
16645,1948-04-16,Female
16646,1948-04-23,Male
16647,1948-04-16,Female
16648,1947-12-24,Female
16649,1948-08-06,Female
16650,1949-03-02,Female
16651,1949-03-25,Female
16652,1984-08-02,Female
16653,1978-10-14,Female
16654,1984-03-14,Female
16655,1981-09-23,Female
16656,1960-11-06,Male
16657,1960-09-17,Male
16658,1960-10-12,Female
16659,1961-06-01,Female
16660,1961-12-01,Male
16661,1961-10-13,Male
16662,1962-09-05,Female
16663,1963-04-08,Female
16664,1963-12-15,Female
16665,1963-12-23,Female
16666,1978-10-07,Female
16667,1980-05-04,Female
16668,1980-01-15,Male
16669,1979-09-21,Male
16670,1980-01-15,Female
16671,1980-02-22,Female
16672,1979-12-26,Female
16673,1979-11-05,Male
16674,1970-11-09,Male
16675,1970-06-13,Female
16676,1977-03-22,Female
16677,1983-02-07,Male
16678,1963-04-14,Male
16679,1980-03-30,Female
16680,1968-09-12,Male
16681,1972-09-11,Male
16682,1973-01-05,Female
16683,1972-09-01,Female
16684,1968-05-17,Male
16685,1967-12-11,Female
16686,1968-01-12,Female
16687,1972-04-07,Male
16688,1967-04-03,Female
16689,1967-03-03,Male
16690,1972-05-01,Female
16691,1972-05-05,Female
16692,1976-10-11,Male
16693,1971-07-20,Male
16694,1965-11-07,Female
16695,1964-10-24,Male
16696,1970-08-11,Female
16697,1970-10-31,Male
16698,1975-08-06,Female
16699,1965-02-24,Male
16700,1974-06-17,Male
16701,1980-01-10,Female
16702,1973-03-12,Female
16703,1967-11-02,Female
16704,1966-11-30,Female
16705,1964-01-08,Female
16706,1963-11-07,Female
16707,1963-10-05,Male
16708,1975-04-06,Female
16709,1941-12-14,Male
16710,1966-03-15,Female
16711,1965-08-01,Male
16712,1962-04-23,Female
16713,1959-05-06,Male
16714,1982-02-07,Male
16715,1982-03-21,Female
16716,1981-08-02,Male
16717,1980-10-08,Female
16718,1981-01-22,Male
16719,1980-07-10,Male
16720,1986-05-17,Female
16721,1986-03-03,Male
16722,1985-12-25,Male
16723,1986-03-14,Female
16724,1985-11-13,Male
16725,1985-12-19,Male
16726,1984-11-22,Male
16727,1986-05-17,Male
16728,1985-07-20,Male
16729,1942-12-11,Male
16730,1943-03-31,Female
16731,1984-08-08,Female
16732,1983-12-23,Female
16733,1944-03-05,Male
16734,1943-09-20,Female
16735,1982-12-04,Female
16736,1983-03-20,Female
16737,1984-10-29,Female
16738,1945-03-02,Male
16739,1955-12-21,Male
16740,1946-04-25,Male
16741,1946-03-07,Male
16742,1946-05-12,Male
16743,1947-11-17,Female
16744,1947-12-13,Female
16745,1948-05-23,Female
16746,1982-05-05,Female
16747,1980-12-11,Male
16748,1980-11-28,Male
16749,1979-11-07,Male
16750,1979-11-08,Male
16751,1984-12-09,Male
16752,1978-08-27,Male
16753,1977-08-22,Female
16754,1978-06-04,Male
16755,1978-01-23,Female
16756,1974-03-18,Male
16757,1972-12-30,Female
16758,1978-11-14,Male
16759,1972-12-30,Female
16760,1970-08-07,Female
16761,1978-06-11,Male
16762,1978-01-23,Male
16763,1979-05-04,Male
16764,1978-11-20,Male
16765,1979-01-04,Male
16766,1979-02-01,Female
16767,1978-10-03,Male
16768,1979-01-07,Male
16769,1977-04-22,Male
16770,1977-03-21,Male
16771,1978-06-23,Male
16772,1977-07-14,Female
16773,1978-05-06,Male
16774,1983-02-07,Male
16775,1983-09-14,Female
16776,1975-09-19,Male
16777,1950-03-04,Male
16778,1950-03-03,Male
16779,1961-04-22,Female
16780,1951-03-24,Male
16781,1950-12-16,Male
16782,1951-08-21,Male
16783,1952-06-05,Female
16784,1951-08-10,Female
16785,1952-02-09,Male
16786,1952-03-23,Male
16787,1957-04-22,Female
16788,1952-10-11,Male
16789,1953-03-20,Female
16790,1958-02-06,Male
16791,1952-11-03,Male
16792,1952-12-07,Female
16793,1952-11-03,Female
16794,1952-10-17,Female
16795,1952-10-31,Female
16796,1953-12-03,Female
16797,1954-05-18,Male
16798,1953-11-01,Female
16799,1954-04-06,Female
16800,1954-12-19,Female
16801,1960-01-19,Female
16802,1955-01-09,Male
16803,1960-07-17,Male
16804,1956-06-18,Male
16805,1961-03-10,Male
16806,1956-02-01,Male
16807,1956-04-03,Female
16808,1956-04-02,Female
16809,1961-06-20,Female
16810,1957-02-28,Male
16811,1956-10-16,Male
16812,1962-09-09,Female
16813,1956-10-11,Male
16814,1962-08-08,Female
16815,1956-11-06,Male
16816,1962-03-07,Female
16817,1957-06-18,Male
16818,1956-08-02,Female
16819,1957-12-31,Male
16820,1957-07-12,Female
16821,1964-01-17,Female
16822,1964-05-27,Male
16823,1964-01-17,Female
16824,1962-11-14,Male
16825,1963-02-01,Female
16826,1968-11-08,Male
16827,1973-08-14,Male
16828,1967-02-06,Male
16829,1967-04-24,Male
16830,1961-04-19,Female
16831,1960-11-08,Male
16832,1937-12-10,Male
16833,1938-02-21,Male
16834,1939-01-18,Female
16835,1939-04-13,Male
16836,1971-05-22,Male
16837,1971-04-22,Female
16838,1970-07-16,Male
16839,1970-12-17,Female
16840,1969-09-11,Male
16841,1970-05-16,Male
16842,1975-04-06,Female
16843,1969-08-15,Male
16844,1975-07-22,Female
16845,1975-09-12,Female
16846,1968-11-05,Male
16847,1979-09-16,Male
16848,1979-10-01,Female
16849,1974-09-24,Male
16850,1969-03-31,Female
16851,1968-09-28,Male
16852,1974-06-03,Female
16853,1968-08-19,Female
16854,1980-02-20,Male
16855,1968-05-12,Female
16856,1968-06-09,Female
16857,1973-12-14,Male
16858,1968-02-10,Female
16859,1973-08-17,Male
16860,1967-09-14,Female
16861,1973-06-06,Male
16862,1968-06-18,Male
16863,1967-02-08,Female
16864,1966-11-03,Female
16865,1972-06-02,Female
16866,1983-10-19,Female
16867,1967-02-23,Female
16868,1972-02-01,Male
16869,1966-08-01,Female
16870,1961-03-31,Female
16871,1966-02-07,Female
16872,1976-02-20,Male
16873,1940-09-10,Male
16874,1941-02-28,Female
16875,1946-02-23,Female
16876,1941-12-03,Male
16877,1947-08-30,Female
16878,1942-05-19,Male
16879,1941-08-27,Female
16880,1953-05-18,Male
16881,1941-08-10,Male
16882,1965-12-13,Male
16883,1966-06-27,Male
16884,1960-02-05,Male
16885,1970-11-30,Male
16886,1960-04-17,Male
16887,1960-02-08,Male
16888,1959-08-18,Female
16889,1965-09-02,Male
16890,1959-08-31,Male
16891,1960-05-08,Female
16892,1959-08-10,Female
16893,1958-12-31,Male
16894,1975-02-05,Female
16895,1957-12-13,Female
16896,1958-04-20,Female
16897,1963-08-19,Female
16898,1963-05-07,Male
16899,1943-03-31,Female
16900,1943-05-21,Male
16901,1943-04-23,Male
16902,1944-04-05,Male
16903,1944-01-30,Male
16904,1944-01-08,Female
16905,1943-10-08,Female
16906,1944-02-09,Female
16907,1944-09-17,Female
16908,1944-11-29,Female
16909,1945-05-09,Female
16910,1944-12-11,Male
16911,1945-10-17,Male
16912,1945-09-04,Male
16913,1946-05-12,Male
16914,1974-04-23,Female
16915,1979-09-03,Male
16916,1973-12-21,Female
16917,1973-08-02,Male
16918,1985-02-07,Female
16919,1950-04-17,Female
16920,1984-07-16,Male
16921,1984-05-13,Male
16922,1983-08-02,Female
16923,1984-05-08,Male
16924,1984-05-04,Female
16925,1984-01-18,Male
16926,1950-08-26,Male
16927,1950-10-19,Female
16928,1963-04-16,Male
16929,1951-12-10,Female
16930,1953-01-05,Female
16931,1953-03-13,Male
16932,1968-01-07,Male
16933,1973-07-18,Male
16934,1973-06-06,Female
16935,1967-08-29,Male
16936,1942-01-31,Female
16937,1973-08-24,Male
16938,1963-11-08,Female
16939,1968-12-06,Female
16940,1968-10-28,Female
16941,1973-03-15,Female
16942,1959-10-02,Female
16943,1949-08-24,Female
16944,1943-11-04,Male
16945,1943-11-11,Female
16946,1944-01-23,Female
16947,1981-03-31,Female
16948,1981-09-11,Female
16949,1981-04-12,Male
16950,1976-05-14,Male
16951,1976-03-31,Female
16952,1981-10-18,Male
16953,1976-04-02,Female
16954,1975-11-24,Male
16955,1975-02-15,Male
16956,1980-01-06,Male
16957,1975-05-20,Male
16958,1982-10-29,Male
16959,1976-08-07,Male
16960,1977-03-06,Female
16961,1982-06-12,Female
16962,1975-02-22,Male
16963,1980-01-24,Female
16964,1974-11-17,Male
16965,1973-08-30,Female
16966,1972-12-08,Female
16967,1975-08-15,Male
16968,1975-08-15,Male
16969,1976-03-01,Male
16970,1978-08-12,Female
16971,1973-03-16,Female
16972,1983-10-04,Male
16973,1972-09-23,Female
16974,1978-06-24,Female
16975,1971-12-08,Male
16976,1971-09-07,Female
16977,1972-04-04,Male
16978,1971-10-02,Male
16979,1972-01-31,Female
16980,1971-10-06,Female
16981,1975-01-13,Male
16982,1980-03-03,Female
16983,1974-09-02,Male
16984,1976-01-01,Male
16985,1976-09-30,Male
16986,1970-08-04,Female
16987,1970-10-07,Male
16988,1976-04-15,Male
16989,1976-09-16,Female
16990,1971-01-18,Male
16991,1970-03-21,Female
16992,1981-03-12,Male
16993,1975-08-15,Male
16994,1969-12-14,Female
16995,1970-01-18,Female
16996,1970-01-11,Female
16997,1969-10-22,Female
16998,1975-07-08,Female
16999,1975-04-15,Female
17000,1968-12-30,Female
17001,1969-03-01,Female
17002,1974-12-11,Male
17003,1969-04-26,Female
17004,1979-11-01,Female
17005,1968-07-18,Female
17006,1968-08-06,Male
17007,1973-12-19,Male
17008,1973-10-26,Male
17009,1974-04-25,Male
17010,1973-10-25,Female
17011,1979-04-17,Female
17012,1969-04-17,Female
17013,1967-09-06,Female
17014,1973-10-23,Male
17015,1967-11-02,Female
17016,1968-02-21,Female
17017,1967-11-01,Male
17018,1972-06-10,Female
17019,1977-11-20,Female
17020,1967-02-18,Female
17021,1967-01-03,Female
17022,1972-04-07,Female
17023,1971-07-13,Male
17024,1966-05-11,Female
17025,1972-10-29,Male
17026,1973-01-09,Male
17027,1972-12-24,Female
17028,1977-04-22,Female
17029,1977-06-20,Female
17030,1970-02-21,Female
17031,1965-05-24,Female
17032,1965-05-05,Female
17033,1970-08-18,Male
17034,1964-10-09,Female
17035,1965-04-20,Male
17036,1970-07-16,Female
17037,1965-05-10,Male
17038,1964-08-06,Male
17039,1963-10-14,Female
17040,1969-08-23,Male
17041,1963-11-11,Male
17042,1975-04-19,Male
17043,1974-09-22,Female
17044,1964-05-25,Female
17045,1980-07-05,Male
17046,1975-03-06,Male
17047,1980-08-12,Female
17048,1986-03-14,Female
17049,1974-10-05,Female
17050,1976-05-23,Female
17051,1973-08-25,Female
17052,1979-04-18,Male
17053,1974-01-25,Female
17054,1978-08-22,Male
17055,1986-05-05,Male
17056,1975-03-16,Male
17057,1975-02-24,Female
17058,1973-01-07,Female
17059,1978-01-02,Male
17060,1972-09-16,Male
17061,1978-10-07,Female
17062,1973-05-26,Female
17063,1971-12-15,Female
17064,1977-05-20,Female
17065,1982-10-21,Male
17066,1970-10-06,Female
17067,1976-03-19,Female
17068,1974-03-02,Male
17069,1979-12-12,Female
17070,1979-11-02,Female
17071,1970-08-18,Female
17072,1969-11-07,Female
17073,1969-09-12,Male
17074,1969-08-23,Male
17075,1970-01-10,Female
17076,1974-11-18,Male
17077,1968-08-27,Male
17078,1969-02-01,Female
17079,1968-08-13,Female
17080,1984-01-17,Female
17081,1985-02-04,Female
17082,1979-11-20,Female
17083,1985-08-13,Female
17084,1986-05-14,Male
17085,1979-10-06,Male
17086,1979-04-08,Male
17087,1977-12-21,Male
17088,1978-01-29,Male
17089,1978-05-03,Female
17090,1978-02-13,Female
17091,1977-10-20,Female
17092,1979-06-11,Male
17093,1979-02-15,Male
17094,1979-01-03,Male
17095,1977-08-05,Male
17096,1978-04-19,Female
17097,1977-08-05,Female
17098,1977-07-15,Male
17099,1978-05-17,Male
17100,1977-08-02,Male
17101,1978-05-03,Male
17102,1978-01-11,Male
17103,1978-03-14,Male
17104,1983-03-04,Male
17105,1977-05-25,Female
17106,1976-09-18,Female
17107,1976-08-01,Female
17108,1977-03-08,Female
17109,1976-11-16,Female
17110,1977-05-03,Female
17111,1975-11-15,Female
17112,1976-01-18,Female
17113,1976-10-19,Male
17114,1982-10-08,Male
17115,1976-08-11,Female
17116,1985-07-20,Female
17117,1979-11-24,Female
17118,1980-01-04,Female
17119,1980-11-02,Female
17120,1971-11-13,Female
17121,1977-08-16,Male
17122,1971-09-15,Female
17123,1959-03-26,Male
17124,1959-02-09,Female
17125,1965-11-15,Female
17126,1950-04-07,Female
17127,1950-11-30,Female
17128,1951-06-05,Male
17129,1950-12-09,Female
17130,1956-11-04,Female
17131,1950-08-31,Female
17132,1951-06-05,Female
17133,1952-05-14,Male
17134,1952-05-22,Female
17135,1952-04-10,Male
17136,1952-02-24,Male
17137,1952-06-03,Male
17138,1957-07-04,Female
17139,1952-11-22,Female
17140,1952-11-05,Male
17141,1952-11-07,Female
17142,1952-10-15,Male
17143,1959-08-31,Male
17144,1953-08-19,Male
17145,1964-10-09,Female
17146,1953-08-12,Male
17147,1954-11-21,Female
17148,1955-01-14,Female
17149,1960-04-18,Male
17150,1960-08-01,Male
17151,1960-07-17,Female
17152,1955-05-07,Male
17153,1954-08-20,Male
17154,1955-02-17,Male
17155,1954-10-19,Male
17156,1971-08-08,Female
17157,1955-06-16,Male
17158,1955-11-13,Male
17159,1956-04-02,Female
17160,1955-07-04,Male
17161,1956-04-14,Female
17162,1955-07-04,Female
17163,1956-02-20,Male
17164,1955-10-06,Male
17165,1956-01-11,Male
17166,1956-12-20,Male
17167,1962-08-12,Male
